ДЕТАЛЬНАЯ СТАТИСТИКА ДЕТЕКЦИИ ПЛАМЕНИ
============================================================

ПАРАМЕТРЫ ДЕТЕКЦИИ:
------------------------------------------------------------
  buffer_size: 15
  brightness_thresh: 215
  saturation_thresh: 115
  flicker_weight: 0.25
  min_flicker_frames: 5
  use_color_filter: True
  confidence_threshold: 15.0
  flame_percent_threshold: 0.15
  negative_keep_ratio: 0.05

РЕЗУЛЬТАТЫ ПО КАДРАМ:
------------------------------------------------------------
Frame | Flame% | Confidence% | Status | Filename
   84 |   9.42 |        65.9 | flame    FLAME | frame_000333.jpg
   85 |   9.41 |        65.5 | flame    FLAME | frame_000334.jpg
   86 |   8.51 |        65.8 | flame    FLAME | frame_000335.jpg
   87 |   9.46 |        65.6 | flame    FLAME | frame_000336.jpg
   88 |   8.06 |        65.3 | flame    FLAME | frame_000337.jpg
   89 |   8.11 |        65.2 | flame    FLAME | frame_000338.jpg
   90 |   7.75 |        65.6 | flame    FLAME | frame_000339.jpg
   91 |   7.20 |        65.5 | flame    FLAME | frame_000340.jpg
   92 |   7.92 |        65.7 | flame    FLAME | frame_000341.jpg
   93 |   8.12 |        65.8 | flame    FLAME | frame_000342.jpg
   94 |   8.39 |        65.5 | flame    FLAME | frame_000343.jpg
   95 |   8.52 |        65.8 | flame    FLAME | frame_000344.jpg
   96 |   6.90 |        66.7 | flame    FLAME | frame_000345.jpg
   97 |   6.61 |        66.3 | flame    FLAME | frame_000346.jpg
   98 |   6.51 |        66.3 | flame    FLAME | frame_000347.jpg
   99 |   8.73 |        66.2 | flame    FLAME | frame_000348.jpg
  100 |   7.56 |        66.0 | flame    FLAME | frame_000349.jpg
  101 |   6.99 |        66.0 | flame    FLAME | frame_000350.jpg
  102 |   7.07 |        66.1 | flame    FLAME | frame_000351.jpg
  103 |   8.11 |        66.2 | flame    FLAME | frame_000352.jpg
  104 |   7.86 |        66.2 | flame    FLAME | frame_000353.jpg
  105 |   7.65 |        65.8 | flame    FLAME | frame_000354.jpg
  106 |   7.18 |        66.2 | flame    FLAME | frame_000355.jpg
  107 |   8.03 |        65.7 | flame    FLAME | frame_000356.jpg
  108 |   8.25 |        65.9 | flame    FLAME | frame_000357.jpg
  109 |   8.04 |        65.7 | flame    FLAME | frame_000358.jpg
  110 |   7.93 |        65.7 | flame    FLAME | frame_000359.jpg
  111 |   6.92 |        66.2 | flame    FLAME | frame_000360.jpg
  112 |   6.52 |        66.2 | flame    FLAME | frame_000361.jpg
  113 |   6.38 |        66.2 | flame    FLAME | frame_000362.jpg
  114 |   7.06 |        66.2 | flame    FLAME | frame_000363.jpg
  115 |   7.88 |        66.2 | flame    FLAME | frame_000364.jpg
  116 |   7.92 |        65.6 | flame    FLAME | frame_000365.jpg
  117 |   7.99 |        66.3 | flame    FLAME | frame_000366.jpg
  118 |   8.52 |        66.0 | flame    FLAME | frame_000367.jpg
  119 |   8.42 |        65.9 | flame    FLAME | frame_000368.jpg
